dis_name,location,trail,spirit_class,address,latitude,longitude,phone,email,website,social_link,found_date,certificate,amenities,url
Cannon Beach Distillery (Permanently closed),,,,"1315 S Hemlock St, Cannon Beach, Oregon, 97110",45.88863,-123.961714,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/cannon-beach-distillery/
Cajun Spirits Distillery,,,,"2532 Poydras St, New Orleans, Louisiana, 70119",29.956902,-90.091725,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cajun-spirits-distillery/
Copper Rivet Distillery,,,,"Pump House no. 5, Leviathan Way, Chatham, England, ME4 4LP",51.404507,0.534384,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/copper-rivet-distillery/
Copper Barrel Distillery,,,,"508 Main St, North Wilkesboro, North Carolina, 28659",36.161859,-81.141463,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/copper-barrel-distillery/
Cedar Creek Distillery,,,,"3820 Leonard Road, Martinsville, Indiana, 46151",39.403073,-86.358493,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/cedar-creek-distillery/
Compass Distillers,,,,"2533 Agricola St, Halifax, Nova Scotia, B3K 4C4",44.654708,-63.592387,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/compass-distillers/
Buckeye Distillery,,,,"220 South 4th Street, Tipp City, Ohio, 45371",39.958389,-84.172164,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/buckeye-distillery/
Chippewa River Distillery,,,,"402 West River Street, Chippewa Falls, Wisconsin, 54729",44.932045,-91.395886,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/chippewa-river-distillery/
Celebration Distillation,,,,"2815 Frenchmen St., New Orleans, Louisiana, 70122",29.986551,-90.059241,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/celebration-distillation/
Candella Micro Distillery,,,,"4440 Market St, Boardman, Ohio, 44512",41.054109,-80.663082,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/candella-micro-distillery/
Burnt Barn Distilling Company (Coming Soon),,,,"195 Wayland Road, Paradise, California, 95969",39.727999,-121.650077,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/burnt-barn-distilling-company/
Copper Cannon Distillery,,,,"2 Lyman Way, West Chesterfield, New Hampshire, 03466",42.887849,-72.537139,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/copper-cannon-distillery/
Brothers Spirits,,,,"Buellton, California",34.613597,-120.192651,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/brothers-spirits/
Cascade Street Distillery,,,,"261 W Cascade Ave, Sisters, Oregon, 97759",44.29109,-121.55186,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cascade-street-distillery/
Chicago Distilling Company,,,,"2359 N Milwaukee Ave, Chicago, Illinois, 60647",41.924302,-87.699055,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/chicago-distilling-company/
Captive Spirits Distilling,,,,"1138 West Ewing Street, Seattle, Washington, 98119",47.656542,-122.372978,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/captive-spirits-distilling/
California Distilled Spirits,,,,"Auburn, California",38.896565,-121.07689,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/california-distilled-spirits/
City Gate Spirits,,,,"11 St George St, St. Augustine, Florida, 32084",29.897422,-81.313145,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/city-gate-spirits/
Bully Boy Distillers,,,,"44 Cedric Street, Boston, Massachusetts, 02119",42.325397,-71.070573,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/bully-boy-distillers/
Cane Creek Distillery,,,,"18685 W 73rd St S, Boynton, Oklahoma, 74422",35.653223,-95.641036,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cane-creek-distillery/
Clayton Distillery,,,,"40164 NY-12, Clayton, New York, 13624",44.248603,-76.049083,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/clayton-distillery/
Cockpit Craft Distillery (Closed),,,,"4893 Galley Road, Colorado Springs, Colorado, 80915",38.846469,-104.7371,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/cockpit-craft-distillery/
Buffalo Distilling Company,,,,"860 Seneca St, Buffalo, New York, 14210",42.875042,-78.845276,,,,,,DSP-NY-15054,[''],https://www.distillerytrail.com/directory-distillery/listing/buffalo-distilling-company/
Bushmills Distillery,,,,"2 Distillery Rd, Bushmills, County Antrim, Northern Ireland, BT57 8XH",55.202017,-6.519548,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/bushmills-distillery/
Captive Spirits,,,,"6750 Jones Avenue Northwest, Seattle, Washington, 98117",47.679217,-122.386031,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/captive-spirits/
Capital Distillery,,,,"32 Learned St, Albany, New York, 12207",42.661057,-73.743419,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/capital-distillery/
Buffalo City Distillery,,,,"8821 Caratoke Hwy, Point Harbor, North Carolina, 27964",36.095783,-75.810674,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/buffalo-city-distillery/
Capstone Spirits Distillery,,,,"20 J R Hawvermale Way, Berkeley Springs, West Virginia, 25411",39.473303,-78.305067,,,,,,,[''],https://www.distillerytrail.com/directory-distillery/listing/capstone-spirits-distillery/
Brothers Wright Distilling Co.,,,,"MP4V+CH, Aflex, Kentucky, 41514",37.656063,-82.256063,,,,,,,,https://www.distillerytrail.com/directory-distillery/listing/brothers-wright-distilling-co/
